"model","learning_rate","hidden_size","batch_size","pooling_style","epoch","valid_count","loss","acc","time"
gated_cnn,0.0001,128,64,avg,4,1997,0.536797429535799,73.91086629944917,1.4134423732757568
gated_cnn,0.0001,128,64,avg,5,1997,0.5067213553531914,78.46770155232849,1.5881192684173584
gated_cnn,0.0001,128,64,max,1,1997,0.5476366655462107,80.12018027040561,1.624234676361084
gated_cnn,0.0001,128,64,max,2,1997,0.39399780750654306,84.4266399599399,1.547593355178833
gated_cnn,0.0001,128,64,max,3,1997,0.3410438355177071,86.22934401602403,1.6442453861236572
gated_cnn,0.0001,128,64,max,4,1997,0.3078773788585784,87.53129694541812,1.7221684455871582
gated_cnn,0.0001,128,64,max,5,1997,0.2847056197133034,88.33249874812218,1.6333956718444824
gated_cnn,0.0001,128,128,avg,1,1997,0.6817625662948512,66.64997496244366,1.4307827949523926
gated_cnn,0.0001,128,128,avg,2,1997,0.6505121845233289,66.64997496244366,1.3952383995056152
gated_cnn,0.0001,128,128,avg,3,1997,0.612093742889694,66.80020030045067,1.4445416927337646
gated_cnn,0.0001,128,128,avg,4,1997,0.5779842772061312,67.45117676514772,1.4195740222930908
gated_cnn,0.0001,128,128,avg,5,1997,0.5583347878124141,69.80470706059089,1.3869092464447021
gated_cnn,0.0001,128,128,max,1,1997,0.5527581399000143,78.21732598898348,1.6385483741760254
gated_cnn,0.0001,128,128,max,2,1997,0.4339080049267298,82.62393590385578,1.6054491996765137
gated_cnn,0.0001,128,128,max,3,1997,0.3675432165589514,85.07761642463696,1.5812187194824219
gated_cnn,0.0001,128,128,max,4,1997,0.33272089894059337,86.07911867801702,1.6643247604370117
gated_cnn,0.0001,128,128,max,5,1997,0.30959772667552854,86.88032048072108,1.627244234085083
bert,0.001,128,64,avg,1,1997,0.47100619705998975,87.38107160741112,7.805632591247559
bert,0.001,128,64,avg,2,1997,0.3000612191523716,85.92889334001002,8.636699438095093
bert,0.001,128,64,avg,3,1997,0.26519235247259687,87.23084626940411,7.812124490737915
bert,0.001,128,64,avg,4,1997,0.22945869476742045,87.08062093139709,9.249383449554443
bert,0.001,128,64,avg,5,1997,0.20385360803194108,87.1306960440661,8.720788955688477
bert,0.001,128,64,max,1,1997,0.43276394514521216,86.73009514271406,8.527141332626343
bert,0.001,128,64,max,2,1997,0.27559756834036225,87.48122183274913,8.303802251815796
bert,0.001,128,64,max,3,1997,0.22422618639602024,88.5828743114672,8.41938853263855
bert,0.001,128,64,max,4,1997,0.19121343444344724,86.73009514271406,8.06649112701416
bert,0.001,128,64,max,5,1997,0.15927295640680442,87.98197295943916,8.205064058303833
bert,0.001,128,128,avg,1,1997,0.5692715976811662,85.728592889334,7.9725096225738525
bert,0.001,128,128,avg,2,1997,0.30977559231127366,87.53129694541812,7.964713096618652
bert,0.001,128,128,avg,3,1997,0.26277987262870695,85.32799198798197,7.874311685562134
bert,0.001,128,128,avg,4,1997,0.23493824550245382,87.83174762143214,8.271475315093994
bert,0.001,128,128,avg,5,1997,0.20671433408426332,84.97746619929895,7.850585699081421
bert,0.001,128,128,max,1,1997,0.47754346456708785,85.628442663996,8.359569787979126
bert,0.001,128,128,max,2,1997,0.2953923923682563,87.58137205808713,8.25907564163208
bert,0.001,128,128,max,3,1997,0.23414465917062155,87.78167250876314,8.180749416351318
bert,0.001,128,128,max,4,1997,0.1949085041503363,88.33249874812218,8.254826307296753
bert,0.001,128,128,max,5,1997,0.1692431592677213,88.43264897346019,8.672329187393188
bert,0.0001,128,64,avg,1,1997,0.6318521036463938,66.64997496244366,8.101575374603271
bert,0.0001,128,64,avg,2,1997,0.4837031619753807,85.728592889334,8.690398216247559
bert,0.0001,128,64,avg,3,1997,0.30018381005639483,87.33099649474211,8.450175762176514
bert,0.0001,128,64,avg,4,1997,0.2724413645400363,88.18227341011517,8.473179578781128
bert,0.0001,128,64,avg,5,1997,0.2586566382532666,88.5327991987982,8.469703435897827
bert,0.0001,128,64,max,1,1997,0.6190179730676542,72.70906359539309,8.859081506729126
bert,0.0001,128,64,max,2,1997,0.4846774377640645,81.07160741111667,8.749446630477905
bert,0.0001,128,64,max,3,1997,0.38788520483074673,84.3264897346019,8.789887189865112
bert,0.0001,128,64,max,4,1997,0.33116107623858054,85.97896845267901,9.51046109199524
bert,0.0001,128,64,max,5,1997,0.29368882099534294,87.43114672008012,10.04259181022644
bert,0.0001,128,128,avg,1,1997,0.6335941900180865,66.64997496244366,8.776296615600586
bert,0.0001,128,128,avg,2,1997,0.6192010256308543,66.64997496244366,8.445037364959717
bert,0.0001,128,128,avg,3,1997,0.41825848497167417,87.03054581872809,8.670647382736206
bert,0.0001,128,128,avg,4,1997,0.3005242868314815,87.93189784677016,8.795189142227173
bert,0.0001,128,128,avg,5,1997,0.2759105608433108,87.58137205808713,8.618268489837646
bert,0.0001,128,128,max,1,1997,0.6278978963441486,66.85027541311968,9.480396747589111
bert,0.0001,128,128,max,2,1997,0.570980818965767,73.15973960941412,9.235187768936157
bert,0.0001,128,128,max,3,1997,0.48481253694884385,82.42363545317977,9.186651706695557
bert,0.0001,128,128,max,4,1997,0.3991481239282632,83.72558838257386,9.196727991104126
bert,0.0001,128,128,max,5,1997,0.3494047465958173,85.628442663996,9.032997369766235
lstm,0.001,128,64,avg,1,1997,0.5522229422809212,80.92138207310965,10.288325786590576
lstm,0.001,128,64,avg,2,1997,0.5121600324181235,67.3009514271407,9.696465969085693
lstm,0.001,128,64,avg,3,1997,0.4756734792593938,79.61942914371556,9.717553853988647
lstm,0.001,128,64,avg,4,1997,0.48541037956620475,78.81822734101152,9.548186302185059
lstm,0.001,128,64,avg,5,1997,0.522247688216009,75.06259389083625,9.439804315567017
lstm,0.001,128,64,max,1,1997,0.43258192603755147,87.48122183274913,9.672558546066284
lstm,0.001,128,64,max,2,1997,0.28511161205305413,89.13370055082625,9.575193405151367
lstm,0.001,128,64,max,3,1997,0.25069881073988165,89.18377566349524,9.57815670967102
lstm,0.001,128,64,max,4,1997,0.22244497146576073,88.18227341011517,9.655881881713867
